ROI,Layer,Model,%R2,eff.Robustness,imagenet1k,imagenet-sketch
(3) V4_both_fmri,(22) RDM_features_12.npz,AlexNet,17.692144,-0.307353617,56.556,10.72333903
(3) V4_both_fmri,(2) RDM_module_IT.npz,cornet_rt,20.32940648,1.146545423,55.444,11.71176482
(3) V4_both_fmri,(47) RDM_module_V4_conv2.npz,cornet_s,24.20992885,0.21400275,73.014,21.56065161
(3) V4_both_fmri,(2) RDM_module_IT.npz,cornet_z,20.52155557,-0.301441578,47.724,7.514394073
(3) V4_both_fmri,(302) RDM_features_denseblock4_denselayer1_conv1.npz,Densenet121,17.74842707,1.562147085,74.438,24.26064572
(1) V4_both_fmri,(217) RDM_features_denseblock3_denselayer13_conv1.npz,Densenet161,13.68834639,3.012274671,77.112,28.56609483
(1) V4_both_fmri,(182) RDM_features_denseblock3_denselayer8_conv1.npz,Densenet169,13.80668803,3.432344978,75.588,27.30452554
(1) V4_both_fmri,(308) RDM_features_denseblock3_denselayer26_conv1.npz,Densenet201,15.91606301,2.381208035,76.886,27.6759221
(1) V4_both_fmri,(211) RDM_features_5_2_block_1.npz,efficientnet_b0,28.69857774,-1.221298019,77.698,25.02112441
(1) V4_both_fmri,(307) RDM_features_5_3_block_1.npz,efficientnet_b1,27.64451015,-1.563519358,78.624,25.81893926
(1) V4_both_fmri,(307) RDM_features_5_3_block_1.npz,efficientnet_b2,27.6578482,0.367024678,80.61,30.43290298
(1) V4_both_fmri,(347) RDM_features_5_4_block_1.npz,efficientnet_b3,27.49724547,4.002014899,82.016,36.1924974
(1) V4_both_fmri,(368) RDM_features_5_2_block_1_0.npz,efficientnet_b4,18.82010667,4.614782551,83.392,39.09489281
(1) V4_both_fmri,(564) RDM_features_6_1_block_1_0.npz,efficientnet_b5,25.48627266,0.47266486,83.448,35.05079683
(1) V4_both_fmri,(169) RDM_inception4e_branch4_0.npz,GoogleNet,20.0125896,4.432824052,69.772,23.06195838
(1) V4_both_fmri,(132) RDM_layers_12_0_layers_3.npz,mnasnet05,20.92657743,-1.862482246,67.75,15.28621117
(1) V4_both_fmri,(132) RDM_layers_12_0_layers_3.npz,mnasnet10,23.73185571,-1.632117753,73.468,20.13401717
(1) V4_both_fmri,(103) RDM_features_9_conv_0_0.npz,mobilenet_v2,14.62182977,-1.241759603,71.87,19.09253473
(1) V4_both_fmri,(199) RDM_features_13_block_1.npz,mobilenet_v3_large,31.59762062,1.33598469,74.054,23.65933699
(1) V4_both_fmri,(153) RDM_features_9_block_1.npz,mobilenet_v3_small,28.83553571,1.34253579,67.668,18.43423923
(1) V4_both_fmri,(257) RDM_layer4_0.npz,ResNet101,17.02962497,1.13690467,77.366,26.98618562
(1) V4_both_fmri,(309) RDM_layer3_25_conv2.npz,ResNet152,17.87243693,1.551007242,78.314,28.54447916
(1) V4_both_fmri,(54) RDM_layer4_0_conv2.npz,ResNet18,17.53486617,1.60647442,69.76,20.22637505
(1) V4_both_fmri,(82) RDM_layer3_4_conv1.npz,ResNet34,20.44144519,1.876834463,73.302,23.48837666
(3) V4_both_fmri,(137) RDM_layer4_1_conv2.npz,ResNet50,17.533206,-0.376778814,76.146,24.09361552
(1) V4_both_fmri,(176) RDM_stage4_2_branch2_3.npz,ShuffleNetV2x05,25.14338545,-0.644634747,60.552,12.24036629
(1) V4_both_fmri,(148) RDM_stage4_0_branch1_1.npz,ShuffleNetV2x10,24.52191724,-0.414495058,69.356,17.89777752
(1) V4_both_fmri,(65) RDM_features_12_squeeze.npz,Squeezenet1_0,27.9675951,-0.829409075,58.096,10.88054393
(1) V4_both_fmri,(49) RDM_features_10_expand3x3.npz,Squeezenet1_1,22.53682335,-0.173731713,58.188,11.57814066
(1) V4_both_fmri,(26) RDM_features_16.npz,VGG11,19.39980416,-2.353507255,69.04,15.72245475
(1) V4_both_fmri,(0) RDM_avgpool.npz,VGG11_bn,19.94785955,-1.695947079,70.38,17.40847727
(1) V4_both_fmri,(30) RDM_features_20.npz,VGG13,20.22453962,-2.65139053,69.94,16.10760675
(1) V4_both_fmri,(0) RDM_avgpool.npz,VGG13_bn,20.81115744,-2.248179789,71.554,17.81721001
(1) V4_both_fmri,(34) RDM_features_24.npz,VGG16,20.40492743,-2.556210595,71.586,17.53620625
(1) V4_both_fmri,(44) RDM_features_34.npz,VGG16_bn,17.97053868,-1.711641916,73.37,19.96305685
(1) V4_both_fmri,(38) RDM_features_28.npz,VGG19,20.36281153,-2.863021296,72.394,17.92725343
(1) V4_both_fmri,(0) RDM_avgpool.npz,VGG19_bn,16.18537273,-0.862822916,74.242,21.64318419
