Model,imagenet1k,imagenet-a,imagenet-r,imagenet-sketch,imagenetv2-matched-frequency,imagenet1k-subset-r,imagenet1k-subset-a
AlexNet,56.556,1.813333333,21.83666667,10.72333903,43.49,76.93,76.15
coat_lite_mini,79.098,14.28,40.28666667,29.44644226,67.73,93.5,94.03
convit_small,81.402,24.76,45.22333333,32.9246006,70.52,94.92,95.19
cornet_rt,55.444,1.44,23.98,11.71176482,43.68,76.95,75.11
cornet_s,73.014,0.866666667,34.05666667,21.56065161,60.83,90.2,89.49
cornet_z,47.724,1.533333333,17.70333333,7.514394073,34.96,68.66,67.04
deit_base_patch16_224,81.98,27.10666667,44.89,32.36848828,71.2,95.03,95.46
Densenet121,74.438,2.133333333,37.2,24.26064572,61.99,91.24,90.78
Densenet161,77.112,4.16,40.13,28.56609483,65.12,92.68,92.32
Densenet169,75.588,3.16,39.66666667,27.30452554,63.59,92.01,91.74
Densenet201,76.886,3.786666667,40.83,27.6759221,64.72,92.47,92.51
dm_nfnet_f0,81.97,19.32,46.44333333,35.80341528,70.79,94.84,95.57
efficientnet_b0,77.698,6.84,37.04666667,25.02112441,65.73,92.37,92.52
efficientnet_b1,78.624,8.026666667,38.16666667,25.81893926,65.64,92.3,92.32
efficientnet_b2,80.61,14.26666667,41.93666667,30.43290298,69.1,94.37,94.64
efficientnet_b3,82.016,22.74666667,48.29333333,36.1924974,71.09,94.84,95.54
efficientnet_b4,83.392,30.28,50.43333333,39.09489281,73.31,95.49,96.2
efficientnet_b5,83.448,30.10666667,49.36333333,35.05079683,73.65,95.82,96.31
gluon_resnet50_v1c,78.01,4.76,37.90666667,25.79732359,66.41,92.91,93.03
gluon_resnext101_64x4d,80.622,16.74666667,43.9,30.99098037,69.4,94.34,94.64
GoogleNet,69.772,1.693333333,36.19333333,23.06195838,57.86,88.61,87.45
inception_resnet_v2,80.448,16.46666667,44.07333333,32.74578003,69.77,94.34,94.56
inception_v3,77.462,9.786666667,38.96,27.59142447,65.98,92.9,92.72
mixer_b16_224,76.618,8.4,34.32666667,25.13509796,63.18,91.13,91.87
mnasnet05,67.75,1.84,27.32,15.28621117,54.39,85.97,85.19
mnasnet10,73.468,2.853333333,32.31,20.13401717,60.42,90.38,89.96
mobilenet_v2,71.87,1.773333333,31.02,19.09253473,59.08,89.34,88.31
mobilenet_v3_large,74.054,4.533333333,34.72333333,23.65933699,60.48,90.33,90.5
mobilenet_v3_small,67.668,2.6,29.40666667,18.43423923,54.71,85.67,85.57
nfnet_l0,81.868,18.64,46.49666667,35.6756863,70.92,94.98,95.43
regnety_032,81.872,19.09333333,46.95,35.08420287,70.88,94.93,95.25
regnety_080,79.87,11.24,38.97666667,26.54404685,68.51,93.89,94.18
ResNet101,77.366,4.586666667,39.29666667,26.98618562,65.57,92.88,92.81
ResNet152,78.314,5.946666667,41.32666667,28.54447916,66.97,93.24,93.32
ResNet18,69.76,1.12,33.03333333,20.22637505,57.28,88.16,87.36
ResNet34,73.302,1.826666667,36.06333333,23.48837666,60.98,90.31,89.93
ResNet50,76.146,0.026666667,36.15666667,24.09361552,63.15,92.11,91.86
resnext101_32x8d,79.308,9.946666667,42.59,29.43268683,67.5,93.79,93.79
resnext50_32x4d,79.79,10.54666667,41.36666667,29.34622413,68.15,93.84,94.11
seresnet50,80.262,14,42.50666667,30.06543654,68.82,94.09,94.55
ShuffleNetV2x05,60.552,1.733333333,25.09,12.24036629,47.39,80.88,79.39
ShuffleNetV2x10,69.356,2.333333333,30.22666667,17.89777752,55.98,86.69,86.45
Squeezenet1_0,58.096,1.266666667,22.65333333,10.88054393,44.86,78.75,77.26
Squeezenet1_1,58.188,1.146666667,22.83333333,11.57814066,45.19,79.02,77.53
swin_base_patch4_window7_224,85.274,51.72,59.31,45.56780444,75.69,96.67,97.27
tf_efficientnet_b2_ns,82.386,24.12,53.5,36.13747568,72.35,95.53,95.75
tf_efficientnet_b4_ns,85.146,50.85333333,61.08333333,43.45143351,75.9,96.71,96.93
VGG11,69.04,1.6,26.60666667,15.72245475,55.74,87.33,86.6
VGG11_bn,70.38,1.72,28.40333333,17.40847727,57.51,88.39,87.53
VGG13,69.94,1.84,26.32,16.10760675,56.81,87.55,87.02
VGG13_bn,71.554,2.08,28.96,17.81721001,58.88,89.2,88.76
VGG16,71.586,2.573333333,27.97666667,17.53620625,58.83,89.39,88.56
VGG16_bn,73.37,2.573333333,30.38,19.96305685,60.7,90.53,90.09
VGG19,72.394,2.013333333,28.69333333,17.92725343,59.68,89.69,89.06
VGG19_bn,74.242,2.866666667,33.31,21.64318419,61.9,90.98,90.1
vit_base_patch16_224,84.536,43.04,56.83,43.24313702,73.99,96.3,96.87
vit_large_patch16_224,85.838,55.29333333,64.34666667,51.83438464,76.28,96.71,97.63
wide_resnet50_2,81.454,16.17333333,44.16666667,32.49032207,70.48,94.66,95.06
xception,79.046,9.826666667,40.81,29.88661597,67.68,93.64,93.47
