Model,architecture,dataset
AlexNet,CNN,ImageNet1K
coat_lite_mini,VIT,ImageNet1K
convit_small,VIT,ImageNet1K
cornet_rt,Cornet,ImageNet1K
cornet_s,Cornet,ImageNet1K
cornet_z,Cornet,ImageNet1K
deit_base_patch16_224,VIT,ImageNet1K
Densenet121,CNN,ImageNet1K
Densenet161,CNN,ImageNet1K
Densenet169,CNN,ImageNet1K
Densenet201,CNN,ImageNet1K
dm_nfnet_f0,CNN,ImageNet1K
efficientnet_b0,CNN,ImageNet1K
efficientnet_b1,CNN,ImageNet1K
efficientnet_b2,CNN,ImageNet1K
efficientnet_b3,CNN,ImageNet1K
efficientnet_b4,CNN,ImageNet1K
efficientnet_b5,CNN,ImageNet1K
gluon_resnet50_v1c,CNN,ImageNet1K
gluon_resnext101_64x4d,CNN,ImageNet1K
GoogleNet,CNN,ImageNet1K
inception_resnet_v2,CNN,ImageNet1K
inception_v3,CNN,ImageNet1K
mixer_b16_224,MLP,ImageNet1K
mnasnet05,CNN,ImageNet1K
mnasnet10,CNN,ImageNet1K
mobilenet_v2,CNN,ImageNet1K
mobilenet_v3_large,CNN,ImageNet1K
mobilenet_v3_small,CNN,ImageNet1K
nfnet_l0,CNN,ImageNet1K
regnety_032,CNN,ImageNet1K
regnety_080,CNN,ImageNet1K
ResNet101,CNN,ImageNet1K
ResNet152,CNN,ImageNet1K
ResNet18,CNN,ImageNet1K
ResNet34,CNN,ImageNet1K
ResNet50,CNN,ImageNet1K
resnext101_32x8d,CNN,ImageNet1K
resnext50_32x4d,CNN,ImageNet1K
seresnet50,CNN,ImageNet1K
ShuffleNetV2x05,CNN,ImageNet1K
ShuffleNetV2x10,CNN,ImageNet1K
Squeezenet1_0,CNN,ImageNet1K
Squeezenet1_1,CNN,ImageNet1K
swin_base_patch4_window7_224,VIT,more data
tf_efficientnet_b2_ns,semi-supervised,more data
tf_efficientnet_b4_ns,semi-supervised,more data
VGG11,CNN,ImageNet1K
VGG11_bn,CNN,ImageNet1K
VGG13,CNN,ImageNet1K
VGG13_bn,CNN,ImageNet1K
VGG16,CNN,ImageNet1K
VGG16_bn,CNN,ImageNet1K
VGG19,CNN,ImageNet1K
VGG19_bn,CNN,ImageNet1K
vit_base_patch16_224,VIT,more data
vit_large_patch16_224,VIT,more data
wide_resnet50_2,CNN,ImageNet1K
xception,CNN,ImageNet1K
efficientnet_b3.ra2_in1k,Rand-augment,ImageNet1K
beit_base_patch16_224.in22k_ft_in22k_in1k,VIT,more data
gmlp_s16_224.ra3_in1k,MLP,ImageNet1K
convnext_base.fb_in22k_ft_in1k,CNN,more data
