Model,R_V4,R_IT,R_V1,R_V2
AlexNet,0.4150325,0.23698673,0.552835166,0.483686477
coat_lite_mini,0.437854439,0.250521779,0.560851514,0.496972084
convit_small,0.436019789,0.253391703,0.562031731,0.498332329
cornet_rt,0.440006018,0.250369668,0.552849472,0.489198625
cornet_s,0.449836463,0.259238422,0.552206814,0.495973855
cornet_z,0.410850734,0.231168747,0.543685079,0.47908178
deit_base_patch16_224,0.433156669,0.247367218,0.560714126,0.497382998
Densenet121,0.453500062,0.264461607,0.555504918,0.499071121
Densenet161,0.459016711,0.272147655,0.556531072,0.498906136
Densenet169,0.455252647,0.273746848,0.561421216,0.502849698
Densenet201,0.455435336,0.27015394,0.558272183,0.501006842
dm_nfnet_f0,0.445147365,0.266132355,0.551410794,0.49044776
efficientnet_b0,0.445321023,0.264935851,0.567647099,0.499862194
efficientnet_b1,0.446182549,0.265586168,0.564090371,0.500510871
efficientnet_b2,0.445105821,0.26189962,0.564619362,0.495613128
efficientnet_b3,0.455358744,0.262696803,0.565724552,0.504220724
efficientnet_b4,0.45353955,0.272388875,0.56065309,0.500619233
efficientnet_b5,0.455865204,0.269362211,0.569635987,0.505965352
gluon_resnet50_v1c,0.447491765,0.260702193,0.549739003,0.495170981
gluon_resnext101_64x4d,0.456533045,0.268597126,0.555507958,0.500193834
GoogleNet,0.44965142,0.264001071,0.555898964,0.498612404
inception_resnet_v2,0.457628816,0.268410981,0.557907522,0.498606712
inception_v3,0.458731651,0.26961273,0.557420611,0.502087772
mixer_b16_224,0.455632091,0.262138426,0.559845984,0.496539772
mnasnet05,0.448229879,0.257491469,0.56206131,0.500760913
mnasnet10,0.450668454,0.259500861,0.557820559,0.498419464
mobilenet_v2,0.449789792,0.262259632,0.559344411,0.500154018
mobilenet_v3_large,0.452485412,0.262391388,0.560230851,0.503988981
mobilenet_v3_small,0.445973247,0.257848788,0.556275938,0.491624415
nfnet_l0,0.443938822,0.265344381,0.547193706,0.4862253
regnety_032,0.452283263,0.272409379,0.561012924,0.497601926
regnety_080,0.4532215,0.269981146,0.566126525,0.505430162
ResNet101,0.455216259,0.267687321,0.562894225,0.502302587
ResNet152,0.457712889,0.271199018,0.562614977,0.503003895
ResNet18,0.443445504,0.253862351,0.554908574,0.493541569
ResNet34,0.449858844,0.264274836,0.556877077,0.498880893
ResNet50,0.449146718,0.269840568,0.558733523,0.499877691
resnext101_32x8d,0.456737369,0.271387458,0.555193007,0.49864924
resnext50_32x4d,0.438523412,0.258563995,0.54627633,0.486635655
seresnet50,0.450720191,0.264081091,0.561927915,0.502363741
ShuffleNetV2x05,0.448492289,0.256797016,0.557484925,0.492144078
ShuffleNetV2x10,0.446344405,0.262066364,0.560064733,0.498702496
Squeezenet1_0,0.424795806,0.248757973,0.543929458,0.475460798
Squeezenet1_1,0.442510039,0.255737245,0.543456078,0.484110653
swin_base_patch4_window7_224,0.437601,0.255953193,0.563327193,0.500878215
tf_efficientnet_b2_ns,0.456093192,0.265227407,0.563555002,0.501802206
tf_efficientnet_b4_ns,0.452108383,0.27077198,0.566366553,0.504156291
VGG11,0.424078792,0.242765546,0.5472821,0.486627549
VGG11_bn,0.432882786,0.253093749,0.55071193,0.486743331
VGG13,0.426838726,0.24464725,0.545452893,0.474706054
VGG13_bn,0.439936966,0.254539818,0.553722024,0.491241872
VGG16,0.426059574,0.246293679,0.547111452,0.485781163
VGG16_bn,0.433735311,0.252010107,0.543280363,0.480607361
VGG19,0.423043847,0.246407896,0.546304286,0.479719996
VGG19_bn,0.439653993,0.25693956,0.551858604,0.493777722
vit_base_patch16_224,0.433202654,0.246936679,0.560141027,0.495025098
vit_large_patch16_224,0.430667132,0.249300942,0.561888754,0.494524777
wide_resnet50_2,0.445897341,0.258970648,0.544767022,0.492734432
xception,0.447297424,0.261582166,0.558446467,0.494739503
