Model,R_V1,R_V2,R_V4,R_IT
ResNet50,0.277712226,0.237622797,0.212082088,0.057902802
AlexNet,0.191481933,0.161162421,0.149011329,0.067454942
Densenet121,0.241463721,0.233111396,0.182553425,0.077335961
Densenet161,0.227863103,0.229112417,0.161390826,0.069699451
Densenet169,0.251584947,0.231077805,0.176570967,0.066315435
Densenet201,0.255937397,0.250001013,0.179121718,0.073646151
GoogleNet,0.222997099,0.233399853,0.178063139,0.067887425
ResNet101,0.248442903,0.24796997,0.178284168,0.082417361
ResNet152,0.252808422,0.247275531,0.190227017,0.077055953
ResNet18,0.240522325,0.252833217,0.186732844,0.079928346
ResNet34,0.250722706,0.256534785,0.183827519,0.073901027
ShuffleNetV2x05,0.216072887,0.189316452,0.127722219,0.05198127
ShuffleNetV2x10,0.241338179,0.227025405,0.174481124,0.055149302
Squeezenet1_0,0.206458345,0.185725138,0.170994222,0.048449591
Squeezenet1_1,0.223370224,0.210876077,0.177676901,0.043686461
VGG11,0.215355456,0.216902047,0.178409204,0.080507413
VGG11_bn,0.21706146,0.236207634,0.1845112,0.085620716
VGG13,0.226902962,0.229595393,0.184785977,0.075629301
VGG13_bn,0.231419787,0.24854131,0.181695133,0.077363469
VGG16,0.213217273,0.219743595,0.178709626,0.076340973
VGG16_bn,0.2113823,0.220903888,0.179263294,0.086118288
VGG19,0.213619649,0.21406506,0.173405483,0.069626853
VGG19_bn,0.219248489,0.226298928,0.183298737,0.07308539
efficientnet_b0,0.227032363,0.241441697,0.164941147,0.086192034
efficientnet_b1,0.243371084,0.235623538,0.172605351,0.078374229
efficientnet_b2,0.238307878,0.2203556,0.165440187,0.083627485
efficientnet_b3,0.232235909,0.230329528,0.17939873,0.086897708
efficientnet_b4,0.235704064,0.237597093,0.178444371,0.076648183
efficientnet_b5,0.238151729,0.241789237,0.184249997,0.064146265
mnasnet05,0.247284204,0.218608886,0.157163382,0.063175209
mnasnet10,0.228004187,0.211583614,0.163160026,0.071235746
mobilenet_v2,0.229168952,0.217261404,0.169080794,0.073124938
mobilenet_v3_large,0.247645572,0.25462845,0.180758595,0.067620926
mobilenet_v3_small,0.232855529,0.237523884,0.136106625,0.080117472
inception_v3,0.233103663,0.231323734,0.172539264,0.085570067
inception_resnet_v2,0.24664399,0.230879009,0.182730749,0.079693109
xception,0.263201296,0.248619497,0.179816887,0.061504818
tf_efficientnet_b2_ns,0.230389178,0.232678771,0.171355531,0.072800286
tf_efficientnet_b4_ns,0.240100875,0.225333691,0.177819058,0.064551935
resnext50_32x4d,0.22418198,0.214181721,0.188101619,0.059815396
resnext101_32x8d,0.244518474,0.239276022,0.194228709,0.070336916
vit_base_patch16_224,0.188592151,0.179009691,0.13977018,0.099327862
vit_large_patch16_224,0.193103984,0.171027765,0.145183936,0.109258957
deit_base_patch16_224,0.184619918,0.173148885,0.1430967,0.104030773
swin_base_patch4_window7_224,0.186467454,0.170804366,0.137860328,0.104708992
mixer_b16_224,0.206485108,0.199379712,0.157012939,0.093336053
nfnet_l0,0.235296324,0.223533854,0.175933421,0.066923112
dm_nfnet_f0,0.238749519,0.253982931,0.194212154,0.059620079
regnety_032,0.21984306,0.227122337,0.162635922,0.076385982
regnety_080,0.244778201,0.235105857,0.180148244,0.074477233
coat_lite_mini,0.209005266,0.203307495,0.140657723,0.086705789
seresnet50,0.225141764,0.241829053,0.181017861,0.057024594
gluon_resnet50_v1c,0.23172766,0.243476972,0.18956621,0.05826262
gluon_resnext101_64x4d,0.246818662,0.237748772,0.174888805,0.06464766
wide_resnet50_2,0.211245716,0.233482122,0.182081848,0.067723043
convit_small,0.205562532,0.160860762,0.152519271,0.099226609
efficientnet_b3.ra2_in1k,0.206187055,0.187985331,0.138609052,0.068395361
beit_base_patch16_224.in22k_ft_in22k_in1k,0.144889787,0.148127273,0.096657291,0.044042408
gmlp_s16_224.ra3_in1k,0.19767876,0.180989638,0.140333742,0.084742889
convnext_base.fb_in22k_ft_in1k,0.197413027,0.174802259,0.127654284,0.087545678
cornet_s,0.247793481,0.244026199,0.18089658,0.083608083
cornet_z,0.173655704,0.17518568,0.121513553,0.076030426
cornet_rt,0.200986907,0.174680337,0.127251536,0.078813799
