ROI,Layer,Model,%R2,eff.Robustness,imagenet1k,imagenet-sketch
(0) EBA_both_fmri,(1) RDM_classifier.npz,AlexNet,13.5356452,-0.307353617,56.556,10.72333903
(0) EBA_both_fmri,(39) RDM_module_decoder_avgpool.npz,cornet_rt,17.73312286,1.146545423,55.444,11.71176482
(0) EBA_both_fmri,(69) RDM_module_decoder_avgpool.npz,cornet_s,11.91352228,0.21400275,73.014,21.56065161
(0) EBA_both_fmri,(0) RDM_.npz,cornet_z,11.2958735,-0.301441578,47.724,7.514394073
(0) EBA_both_fmri,(316) RDM_features_denseblock4_denselayer3_conv1.npz,Densenet121,16.52259954,1.562147085,74.438,24.26064572
(0) EBA_both_fmri,(385) RDM_features_denseblock4_denselayer1.npz,Densenet161,10.8499426,3.012274671,77.112,28.56609483
(0) EBA_both_fmri,(0) RDM_classifier.npz,Densenet169,10.23323759,3.432344978,75.588,27.30452554
(0) EBA_both_fmri,(519) RDM_features_denseblock4_denselayer8_conv1.npz,Densenet201,11.85467438,2.381208035,76.886,27.6759221
(0) EBA_both_fmri,(276) RDM_features_6_2_block_2_activation.npz,efficientnet_b0,19.37885535,-1.221298019,77.698,25.02112441
(0) EBA_both_fmri,(312) RDM_features_5_3_block_2_activation.npz,efficientnet_b1,24.00041299,-1.563519358,78.624,25.81893926
(0) EBA_both_fmri,(376) RDM_features_6_2_block_2_scale_activation.npz,efficientnet_b2,26.86833235,0.367024678,80.61,30.43290298
(0) EBA_both_fmri,(452) RDM_features_6_4_block_2_activation.npz,efficientnet_b3,24.95888018,4.002014899,82.016,36.1924974
(0) EBA_both_fmri,(376) RDM_features_5_2_block_2_scale_activation.npz,efficientnet_b4,19.06541093,4.614782551,83.392,39.09489281
(0) EBA_both_fmri,(629) RDM_features_6_4_block_2_avgpool.npz,efficientnet_b5,25.55896125,0.47266486,83.448,35.05079683
(0) EBA_both_fmri,(183) RDM_inception5a_branch2_1_conv.npz,GoogleNet,17.08019688,4.432824052,69.772,23.06195838
(0) EBA_both_fmri,(163) RDM_layers_12_3_layers_4.npz,mnasnet05,17.90260658,-1.862482246,67.75,15.28621117
(0) EBA_both_fmri,(162) RDM_layers_12_3_layers_3.npz,mnasnet10,15.99619156,-1.632117753,73.468,20.13401717
(0) EBA_both_fmri,(203) RDM_features_17_conv_1_0.npz,mobilenet_v2,15.55807621,-1.241759603,71.87,19.09253473
(0) EBA_both_fmri,(244) RDM_features_15_block_2_fc1.npz,mobilenet_v3_large,25.33835655,1.33598469,74.054,23.65933699
(0) EBA_both_fmri,(198) RDM_features_11_block_2_fc1.npz,mobilenet_v3_small,20.85633099,1.34253579,67.668,18.43423923
(0) EBA_both_fmri,(273) RDM_layer4_1_conv2.npz,ResNet101,12.20773346,1.13690467,77.366,26.98618562
(0) EBA_both_fmri,(309) RDM_layer3_25_conv2.npz,ResNet152,12.88841856,1.551007242,78.314,28.54447916
(0) EBA_both_fmri,(0) RDM_avgpool.npz,ResNet18,11.50018968,1.60647442,69.76,20.22637505
(0) EBA_both_fmri,(104) RDM_layer4_1_conv1.npz,ResNet34,11.75581486,1.876834463,73.302,23.48837666
(0) EBA_both_fmri,(137) RDM_layer4_1_conv2.npz,ResNet50,16.32591875,-0.376778814,76.146,24.09361552
(0) EBA_both_fmri,(182) RDM_stage4_3_branch2.npz,ShuffleNetV2x05,12.22583849,-0.644634747,60.552,12.24036629
(0) EBA_both_fmri,(162) RDM_stage4_1_branch2.npz,ShuffleNetV2x10,15.06731153,-0.414495058,69.356,17.89777752
(0) EBA_both_fmri,(0) RDM_classifier.npz,Squeezenet1_0,14.6861485,-0.829409075,58.096,10.88054393
(0) EBA_both_fmri,(0) RDM_classifier.npz,Squeezenet1_1,13.64793503,-0.173731713,58.188,11.57814066
(0) EBA_both_fmri,(5) RDM_classifier_3.npz,VGG11,14.09498161,-2.353507255,69.04,15.72245475
(0) EBA_both_fmri,(5) RDM_classifier_3.npz,VGG11_bn,13.49540639,-1.695947079,70.38,17.40847727
(0) EBA_both_fmri,(0) RDM_avgpool.npz,VGG13,14.11450629,-2.65139053,69.94,16.10760675
(0) EBA_both_fmri,(5) RDM_classifier_3.npz,VGG13_bn,14.15427019,-2.248179789,71.554,17.81721001
(0) EBA_both_fmri,(40) RDM_features_30.npz,VGG16,13.37576176,-2.556210595,71.586,17.53620625
(0) EBA_both_fmri,(5) RDM_classifier_3.npz,VGG16_bn,12.71300294,-1.711641916,73.37,19.96305685
(0) EBA_both_fmri,(0) RDM_avgpool.npz,VGG19,14.50189377,-2.863021296,72.394,17.92725343
(0) EBA_both_fmri,(5) RDM_classifier_3.npz,VGG19_bn,12.58799006,-0.862822916,74.242,21.64318419
