ROI,Layer,Model,%R2,eff.Robustness,imagenet1k,imagenet-sketch
(2) FBA-2_both_fmri,(1) RDM_classifier.npz,AlexNet,17.74810814,-0.307353617,56.556,10.72333903
(2) FBA-2_both_fmri,(39) RDM_module_decoder_avgpool.npz,cornet_rt,23.04668788,1.146545423,55.444,11.71176482
(2) FBA-2_both_fmri,(69) RDM_module_decoder_avgpool.npz,cornet_s,15.96985406,0.21400275,73.014,21.56065161
(2) FBA-2_both_fmri,(0) RDM_.npz,cornet_z,14.22413919,-0.301441578,47.724,7.514394073
(2) FBA-2_both_fmri,(316) RDM_features_denseblock4_denselayer3_conv1.npz,Densenet121,20.47603701,1.562147085,74.438,24.26064572
(2) FBA-2_both_fmri,(0) RDM_classifier.npz,Densenet161,14.1665904,3.012274671,77.112,28.56609483
(2) FBA-2_both_fmri,(0) RDM_classifier.npz,Densenet169,14.04234044,3.432344978,75.588,27.30452554
(2) FBA-2_both_fmri,(0) RDM_classifier.npz,Densenet201,14.6642339,2.381208035,76.886,27.6759221
(2) FBA-2_both_fmri,(276) RDM_features_6_2_block_2_activation.npz,efficientnet_b0,24.90359915,-1.221298019,77.698,25.02112441
(2) FBA-2_both_fmri,(312) RDM_features_5_3_block_2_activation.npz,efficientnet_b1,30.74466721,-1.563519358,78.624,25.81893926
(2) FBA-2_both_fmri,(376) RDM_features_6_2_block_2_scale_activation.npz,efficientnet_b2,32.92459363,0.367024678,80.61,30.43290298
(2) FBA-2_both_fmri,(452) RDM_features_6_4_block_2_activation.npz,efficientnet_b3,33.81938346,4.002014899,82.016,36.1924974
(2) FBA-2_both_fmri,(576) RDM_features_6_6_block_2_scale_activation.npz,efficientnet_b4,24.78942205,4.614782551,83.392,39.09489281
(2) FBA-2_both_fmri,(629) RDM_features_6_4_block_2_avgpool.npz,efficientnet_b5,36.20247632,0.47266486,83.448,35.05079683
(2) FBA-2_both_fmri,(215) RDM_inception5b_branch4_0.npz,GoogleNet,20.11346545,4.432824052,69.772,23.06195838
(2) FBA-2_both_fmri,(163) RDM_layers_12_3_layers_4.npz,mnasnet05,21.31931348,-1.862482246,67.75,15.28621117
(2) FBA-2_both_fmri,(162) RDM_layers_12_3_layers_3.npz,mnasnet10,19.70714428,-1.632117753,73.468,20.13401717
(2) FBA-2_both_fmri,(203) RDM_features_17_conv_1_0.npz,mobilenet_v2,19.71313334,-1.241759603,71.87,19.09253473
(2) FBA-2_both_fmri,(244) RDM_features_15_block_2_fc1.npz,mobilenet_v3_large,32.68124948,1.33598469,74.054,23.65933699
(2) FBA-2_both_fmri,(198) RDM_features_11_block_2_fc1.npz,mobilenet_v3_small,27.21601486,1.34253579,67.668,18.43423923
(2) FBA-2_both_fmri,(253) RDM_layer3_22_conv2.npz,ResNet101,15.18048372,1.13690467,77.366,26.98618562
(2) FBA-2_both_fmri,(309) RDM_layer3_25_conv2.npz,ResNet152,14.58700262,1.551007242,78.314,28.54447916
(2) FBA-2_both_fmri,(0) RDM_avgpool.npz,ResNet18,15.46342034,1.60647442,69.76,20.22637505
(2) FBA-2_both_fmri,(104) RDM_layer4_1_conv1.npz,ResNet34,14.04740627,1.876834463,73.302,23.48837666
(2) FBA-2_both_fmri,(137) RDM_layer4_1_conv2.npz,ResNet50,19.22251204,-0.376778814,76.146,24.09361552
(2) FBA-2_both_fmri,(182) RDM_stage4_3_branch2.npz,ShuffleNetV2x05,14.78484533,-0.644634747,60.552,12.24036629
(2) FBA-2_both_fmri,(162) RDM_stage4_1_branch2.npz,ShuffleNetV2x10,18.31863896,-0.414495058,69.356,17.89777752
(2) FBA-2_both_fmri,(0) RDM_classifier.npz,Squeezenet1_0,18.39978243,-0.829409075,58.096,10.88054393
(2) FBA-2_both_fmri,(0) RDM_classifier.npz,Squeezenet1_1,17.61337503,-0.173731713,58.188,11.57814066
(2) FBA-2_both_fmri,(5) RDM_classifier_3.npz,VGG11,17.90170854,-2.353507255,69.04,15.72245475
(2) FBA-2_both_fmri,(5) RDM_classifier_3.npz,VGG11_bn,17.19059157,-1.695947079,70.38,17.40847727
(2) FBA-2_both_fmri,(0) RDM_avgpool.npz,VGG13,17.18829978,-2.65139053,69.94,16.10760675
(2) FBA-2_both_fmri,(5) RDM_classifier_3.npz,VGG13_bn,18.16940102,-2.248179789,71.554,17.81721001
(2) FBA-2_both_fmri,(0) RDM_avgpool.npz,VGG16,17.09450449,-2.556210595,71.586,17.53620625
(2) FBA-2_both_fmri,(5) RDM_classifier_3.npz,VGG16_bn,16.48524663,-1.711641916,73.37,19.96305685
(2) FBA-2_both_fmri,(0) RDM_avgpool.npz,VGG19,18.58462125,-2.863021296,72.394,17.92725343
(2) FBA-2_both_fmri,(5) RDM_classifier_3.npz,VGG19_bn,16.19678572,-0.862822916,74.242,21.64318419
