ROI,Layer,Model,%R2,eff.Robustness,imagenet1k,imagenet-sketch
(0) FFA-1_both_fmri,(1) RDM_classifier.npz,AlexNet,12.81078933,-0.307353617,56.556,10.72333903
(0) FFA-1_both_fmri,(39) RDM_module_decoder_avgpool.npz,cornet_rt,17.73302,1.146545423,55.444,11.71176482
(0) FFA-1_both_fmri,(8) RDM_module_IT_nonlin2.npz,cornet_s,11.96615968,0.21400275,73.014,21.56065161
(0) FFA-1_both_fmri,(0) RDM_.npz,cornet_z,11.24828744,-0.301441578,47.724,7.514394073
(0) FFA-1_both_fmri,(316) RDM_features_denseblock4_denselayer3_conv1.npz,Densenet121,15.88421617,1.562147085,74.438,24.26064572
(0) FFA-1_both_fmri,(0) RDM_classifier.npz,Densenet161,9.95068454,3.012274671,77.112,28.56609483
(0) FFA-1_both_fmri,(0) RDM_classifier.npz,Densenet169,9.592476072,3.432344978,75.588,27.30452554
(0) FFA-1_both_fmri,(468) RDM_features_denseblock4.npz,Densenet201,10.51802637,2.381208035,76.886,27.6759221
(0) FFA-1_both_fmri,(276) RDM_features_6_2_block_2_activation.npz,efficientnet_b0,19.42963006,-1.221298019,77.698,25.02112441
(0) FFA-1_both_fmri,(312) RDM_features_5_3_block_2_activation.npz,efficientnet_b1,26.75435196,-1.563519358,78.624,25.81893926
(0) FFA-1_both_fmri,(376) RDM_features_6_2_block_2_scale_activation.npz,efficientnet_b2,26.78795238,0.367024678,80.61,30.43290298
(0) FFA-1_both_fmri,(452) RDM_features_6_4_block_2_activation.npz,efficientnet_b3,27.36751884,4.002014899,82.016,36.1924974
(0) FFA-1_both_fmri,(376) RDM_features_5_2_block_2_scale_activation.npz,efficientnet_b4,21.03058331,4.614782551,83.392,39.09489281
(0) FFA-1_both_fmri,(629) RDM_features_6_4_block_2_avgpool.npz,efficientnet_b5,29.63103856,0.47266486,83.448,35.05079683
(0) FFA-1_both_fmri,(215) RDM_inception5b_branch4_0.npz,GoogleNet,15.53368332,4.432824052,69.772,23.06195838
(0) FFA-1_both_fmri,(163) RDM_layers_12_3_layers_4.npz,mnasnet05,17.43477757,-1.862482246,67.75,15.28621117
(0) FFA-1_both_fmri,(162) RDM_layers_12_3_layers_3.npz,mnasnet10,15.98274415,-1.632117753,73.468,20.13401717
(0) FFA-1_both_fmri,(203) RDM_features_17_conv_1_0.npz,mobilenet_v2,14.91496172,-1.241759603,71.87,19.09253473
(0) FFA-1_both_fmri,(244) RDM_features_15_block_2_fc1.npz,mobilenet_v3_large,25.60435284,1.33598469,74.054,23.65933699
(0) FFA-1_both_fmri,(198) RDM_features_11_block_2_fc1.npz,mobilenet_v3_small,21.35146648,1.34253579,67.668,18.43423923
(0) FFA-1_both_fmri,(253) RDM_layer3_22_conv2.npz,ResNet101,12.81718699,1.13690467,77.366,26.98618562
(0) FFA-1_both_fmri,(309) RDM_layer3_25_conv2.npz,ResNet152,12.85219998,1.551007242,78.314,28.54447916
(0) FFA-1_both_fmri,(0) RDM_avgpool.npz,ResNet18,11.07983207,1.60647442,69.76,20.22637505
(0) FFA-1_both_fmri,(104) RDM_layer4_1_conv1.npz,ResNet34,11.37895043,1.876834463,73.302,23.48837666
(0) FFA-1_both_fmri,(137) RDM_layer4_1_conv2.npz,ResNet50,15.35232631,-0.376778814,76.146,24.09361552
(0) FFA-1_both_fmri,(182) RDM_stage4_3_branch2.npz,ShuffleNetV2x05,12.15494765,-0.644634747,60.552,12.24036629
(0) FFA-1_both_fmri,(162) RDM_stage4_1_branch2.npz,ShuffleNetV2x10,15.01275417,-0.414495058,69.356,17.89777752
(0) FFA-1_both_fmri,(0) RDM_classifier.npz,Squeezenet1_0,14.12181939,-0.829409075,58.096,10.88054393
(0) FFA-1_both_fmri,(0) RDM_classifier.npz,Squeezenet1_1,13.26811117,-0.173731713,58.188,11.57814066
(0) FFA-1_both_fmri,(0) RDM_avgpool.npz,VGG11,13.97932657,-2.353507255,69.04,15.72245475
(0) FFA-1_both_fmri,(5) RDM_classifier_3.npz,VGG11_bn,12.56666382,-1.695947079,70.38,17.40847727
(0) FFA-1_both_fmri,(0) RDM_avgpool.npz,VGG13,14.5257753,-2.65139053,69.94,16.10760675
(0) FFA-1_both_fmri,(5) RDM_classifier_3.npz,VGG13_bn,13.21790313,-2.248179789,71.554,17.81721001
(0) FFA-1_both_fmri,(0) RDM_avgpool.npz,VGG16,14.42109101,-2.556210595,71.586,17.53620625
(0) FFA-1_both_fmri,(5) RDM_classifier_3.npz,VGG16_bn,11.92516654,-1.711641916,73.37,19.96305685
(0) FFA-1_both_fmri,(0) RDM_avgpool.npz,VGG19,15.14207781,-2.863021296,72.394,17.92725343
(0) FFA-1_both_fmri,(5) RDM_classifier_3.npz,VGG19_bn,11.44621607,-0.862822916,74.242,21.64318419
