ROI,Layer,Model,%R2,eff.Robustness,imagenet1k,imagenet-sketch
(0) IT_both_fmri,(1) RDM_classifier.npz,AlexNet,13.77013829,-0.307353617,56.556,10.72333903
(0) IT_both_fmri,(39) RDM_module_decoder_avgpool.npz,cornet_rt,18.11345247,1.146545423,55.444,11.71176482
(0) IT_both_fmri,(14) RDM_module_IT_norm3_0.npz,cornet_s,13.48749092,0.21400275,73.014,21.56065161
(0) IT_both_fmri,(0) RDM_.npz,cornet_z,12.83153185,-0.301441578,47.724,7.514394073
(0) IT_both_fmri,(316) RDM_features_denseblock4_denselayer3_conv1.npz,Densenet121,17.68017416,1.562147085,74.438,24.26064572
(0) IT_both_fmri,(385) RDM_features_denseblock4_denselayer1.npz,Densenet161,10.72097776,3.012274671,77.112,28.56609483
(0) IT_both_fmri,(595) RDM_features_transition3.npz,Densenet169,10.21780999,3.432344978,75.588,27.30452554
(0) IT_both_fmri,(468) RDM_features_denseblock4.npz,Densenet201,11.97382995,2.381208035,76.886,27.6759221
(0) IT_both_fmri,(257) RDM_features_6_1_block_2_avgpool.npz,efficientnet_b0,19.81750099,-1.221298019,77.698,25.02112441
(0) IT_both_fmri,(312) RDM_features_5_3_block_2_activation.npz,efficientnet_b1,27.91969379,-1.563519358,78.624,25.81893926
(0) IT_both_fmri,(292) RDM_features_5_2_block_2_activation.npz,efficientnet_b2,27.5939511,0.367024678,80.61,30.43290298
(0) IT_both_fmri,(452) RDM_features_6_4_block_2_activation.npz,efficientnet_b3,25.08386791,4.002014899,82.016,36.1924974
(0) IT_both_fmri,(376) RDM_features_5_2_block_2_scale_activation.npz,efficientnet_b4,21.04400834,4.614782551,83.392,39.09489281
(0) IT_both_fmri,(629) RDM_features_6_4_block_2_avgpool.npz,efficientnet_b5,28.15545842,0.47266486,83.448,35.05079683
(0) IT_both_fmri,(215) RDM_inception5b_branch4_0.npz,GoogleNet,17.34467653,4.432824052,69.772,23.06195838
(0) IT_both_fmri,(163) RDM_layers_12_3_layers_4.npz,mnasnet05,18.8064658,-1.862482246,67.75,15.28621117
(0) IT_both_fmri,(162) RDM_layers_12_3_layers_3.npz,mnasnet10,17.61132688,-1.632117753,73.468,20.13401717
(0) IT_both_fmri,(203) RDM_features_17_conv_1_0.npz,mobilenet_v2,15.92747371,-1.241759603,71.87,19.09253473
(0) IT_both_fmri,(244) RDM_features_15_block_2_fc1.npz,mobilenet_v3_large,28.12136943,1.33598469,74.054,23.65933699
(0) IT_both_fmri,(198) RDM_features_11_block_2_fc1.npz,mobilenet_v3_small,22.9751958,1.34253579,67.668,18.43423923
(0) IT_both_fmri,(253) RDM_layer3_22_conv2.npz,ResNet101,14.65631539,1.13690467,77.366,26.98618562
(0) IT_both_fmri,(284) RDM_layer3_22_conv1.npz,ResNet152,17.26639723,1.551007242,78.314,28.54447916
(0) IT_both_fmri,(0) RDM_avgpool.npz,ResNet18,11.69370069,1.60647442,69.76,20.22637505
(0) IT_both_fmri,(104) RDM_layer4_1_conv1.npz,ResNet34,13.45497453,1.876834463,73.302,23.48837666
(0) IT_both_fmri,(137) RDM_layer4_1_conv2.npz,ResNet50,16.75573847,-0.376778814,76.146,24.09361552
(0) IT_both_fmri,(182) RDM_stage4_3_branch2.npz,ShuffleNetV2x05,13.22896879,-0.644634747,60.552,12.24036629
(0) IT_both_fmri,(168) RDM_stage4_1_branch2_5.npz,ShuffleNetV2x10,17.32910669,-0.414495058,69.356,17.89777752
(0) IT_both_fmri,(0) RDM_classifier.npz,Squeezenet1_0,15.31848709,-0.829409075,58.096,10.88054393
(0) IT_both_fmri,(0) RDM_classifier.npz,Squeezenet1_1,14.2913406,-0.173731713,58.188,11.57814066
(0) IT_both_fmri,(0) RDM_avgpool.npz,VGG11,15.64263258,-2.353507255,69.04,15.72245475
(0) IT_both_fmri,(0) RDM_avgpool.npz,VGG11_bn,13.10443881,-1.695947079,70.38,17.40847727
(0) IT_both_fmri,(0) RDM_avgpool.npz,VGG13,16.05877928,-2.65139053,69.94,16.10760675
(0) IT_both_fmri,(0) RDM_avgpool.npz,VGG13_bn,13.86701754,-2.248179789,71.554,17.81721001
(0) IT_both_fmri,(0) RDM_avgpool.npz,VGG16,15.02928087,-2.556210595,71.586,17.53620625
(0) IT_both_fmri,(5) RDM_classifier_3.npz,VGG16_bn,12.25248724,-1.711641916,73.37,19.96305685
(0) IT_both_fmri,(0) RDM_avgpool.npz,VGG19,16.02035924,-2.863021296,72.394,17.92725343
(0) IT_both_fmri,(5) RDM_classifier_3.npz,VGG19_bn,11.90622227,-0.862822916,74.242,21.64318419
