ROI,Model,%R2,eff.Robustness,imagenet1k,imagenet-sketch
IT,AlexNet,17.81659863,-0.307353617,56.556,10.72333903
IT,cornet_rt,22.17176832,1.146545423,55.444,11.71176482
IT,cornet_s,16.23311208,0.21400275,73.014,21.56065161
IT,cornet_z,15.16873446,-0.301441578,47.724,7.514394073
IT,Densenet121,20.74050915,1.562147085,74.438,24.26064572
IT,Densenet161,14.68391752,3.012274671,77.112,28.56609483
IT,Densenet169,13.54407118,3.432344978,75.588,27.30452554
IT,Densenet201,15.62996913,2.381208035,76.886,27.6759221
IT,efficientnet_b0,24.22063217,-1.221298019,77.698,25.02112441
IT,efficientnet_b1,28.57722395,-1.563519358,78.624,25.81893926
IT,efficientnet_b2,30.50250253,0.367024678,80.61,30.43290298
IT,efficientnet_b3,28.75487298,4.002014899,82.016,36.1924974
IT,efficientnet_b4,23.70766641,4.614782551,83.392,39.09489281
IT,efficientnet_b5,30.12716455,0.47266486,83.448,35.05079683
IT,GoogleNet,21.08554077,4.432824052,69.772,23.06195838
IT,mnasnet05,22.37145423,-1.862482246,67.75,15.28621117
IT,mnasnet10,20.53354544,-1.632117753,73.468,20.13401717
IT,mobilenet_v2,19.98032162,-1.241759603,71.87,19.09253473
IT,mobilenet_v3_large,30.56385786,1.33598469,74.054,23.65933699
IT,mobilenet_v3_small,25.62601457,1.34253579,67.668,18.43423923
IT,ResNet101,16.22004363,1.13690467,77.366,26.98618562
IT,ResNet152,19.05117846,1.551007242,78.314,28.54447916
IT,ResNet18,15.13135194,1.60647442,69.76,20.22637505
IT,ResNet34,15.16227582,1.876834463,73.302,23.48837666
IT,ResNet50,20.07109425,-0.376778814,76.146,24.09361552
IT,ShuffleNetV2x05,16.37892039,-0.644634747,60.552,12.24036629
IT,ShuffleNetV2x10,20.01631631,-0.414495058,69.356,17.89777752
IT,Squeezenet1_0,18.72203204,-0.829409075,58.096,10.88054393
IT,Squeezenet1_1,17.88908084,-0.173731713,58.188,11.57814066
IT,VGG11,18.02114684,-2.353507255,69.04,15.72245475
IT,VGG11_bn,16.74556275,-1.695947079,70.38,17.40847727
IT,VGG13,18.17599862,-2.65139053,69.94,16.10760675
IT,VGG13_bn,17.36296264,-2.248179789,71.554,17.81721001
IT,VGG16,17.70888699,-2.556210595,71.586,17.53620625
IT,VGG16_bn,15.56438447,-1.711641916,73.37,19.96305685
IT,VGG19,18.64365961,-2.863021296,72.394,17.92725343
IT,VGG19_bn,15.66937187,-0.862822916,74.242,21.64318419
