ROI,Layer,Model,%R2,eff.Robustness,imagenet1k,imagenet-sketch
(1) PPA_both_fmri,(1) RDM_classifier.npz,AlexNet,28.34970728,-0.307353617,56.556,10.72333903
(1) PPA_both_fmri,(39) RDM_module_decoder_avgpool.npz,cornet_rt,31.80896921,1.146545423,55.444,11.71176482
(1) PPA_both_fmri,(14) RDM_module_IT_norm3_0.npz,cornet_s,27.9041707,0.21400275,73.014,21.56065161
(1) PPA_both_fmri,(0) RDM_.npz,cornet_z,24.80444826,-0.301441578,47.724,7.514394073
(1) PPA_both_fmri,(300) RDM_features_denseblock4.npz,Densenet121,32.41959621,1.562147085,74.438,24.26064572
(1) PPA_both_fmri,(385) RDM_features_denseblock4_denselayer1.npz,Densenet161,25.20974504,3.012274671,77.112,28.56609483
(1) PPA_both_fmri,(356) RDM_features_denseblock4.npz,Densenet169,21.75777949,3.432344978,75.588,27.30452554
(1) PPA_both_fmri,(519) RDM_features_denseblock4_denselayer8_conv1.npz,Densenet201,26.81021279,2.381208035,76.886,27.6759221
(1) PPA_both_fmri,(257) RDM_features_6_1_block_2_avgpool.npz,efficientnet_b0,35.72342919,-1.221298019,77.698,25.02112441
(1) PPA_both_fmri,(353) RDM_features_6_1_block_2_avgpool.npz,efficientnet_b1,34.99110379,-1.563519358,78.624,25.81893926
(1) PPA_both_fmri,(373) RDM_features_6_2_block_2_avgpool.npz,efficientnet_b2,35.86788439,0.367024678,80.61,30.43290298
(1) PPA_both_fmri,(413) RDM_features_6_2_block_2_avgpool.npz,efficientnet_b3,32.40014096,4.002014899,82.016,36.1924974
(1) PPA_both_fmri,(473) RDM_features_6_1_block_2_avgpool.npz,efficientnet_b4,32.75026521,4.614782551,83.392,39.09489281
(1) PPA_both_fmri,(583) RDM_features_6_2_block_1.npz,efficientnet_b5,34.95178793,0.47266486,83.448,35.05079683
(1) PPA_both_fmri,(215) RDM_inception5b_branch4_0.npz,GoogleNet,32.8788934,4.432824052,69.772,23.06195838
(1) PPA_both_fmri,(163) RDM_layers_12_3_layers_4.npz,mnasnet05,34.84665968,-1.862482246,67.75,15.28621117
(1) PPA_both_fmri,(162) RDM_layers_12_3_layers_3.npz,mnasnet10,33.13254043,-1.632117753,73.468,20.13401717
(1) PPA_both_fmri,(203) RDM_features_17_conv_1_0.npz,mobilenet_v2,31.81929809,-1.241759603,71.87,19.09253473
(1) PPA_both_fmri,(244) RDM_features_15_block_2_fc1.npz,mobilenet_v3_large,40.69883808,1.33598469,74.054,23.65933699
(1) PPA_both_fmri,(198) RDM_features_11_block_2_fc1.npz,mobilenet_v3_small,35.84096554,1.34253579,67.668,18.43423923
(1) PPA_both_fmri,(264) RDM_layer4_0_downsample.npz,ResNet101,27.01419651,1.13690467,77.366,26.98618562
(1) PPA_both_fmri,(284) RDM_layer3_22_conv1.npz,ResNet152,38.90396566,1.551007242,78.314,28.54447916
(1) PPA_both_fmri,(50) RDM_layer4_0.npz,ResNet18,24.45147468,1.60647442,69.76,20.22637505
(1) PPA_both_fmri,(104) RDM_layer4_1_conv1.npz,ResNet34,25.16026194,1.876834463,73.302,23.48837666
(1) PPA_both_fmri,(137) RDM_layer4_1_conv2.npz,ResNet50,30.96068894,-0.376778814,76.146,24.09361552
(1) PPA_both_fmri,(188) RDM_stage4_3_branch2_5.npz,ShuffleNetV2x05,28.4984843,-0.644634747,60.552,12.24036629
(1) PPA_both_fmri,(168) RDM_stage4_1_branch2_5.npz,ShuffleNetV2x10,34.00821571,-0.414495058,69.356,17.89777752
(1) PPA_both_fmri,(0) RDM_classifier.npz,Squeezenet1_0,28.36068006,-0.829409075,58.096,10.88054393
(1) PPA_both_fmri,(0) RDM_classifier.npz,Squeezenet1_1,28.24176444,-0.173731713,58.188,11.57814066
(1) PPA_both_fmri,(0) RDM_avgpool.npz,VGG11,27.99737565,-2.353507255,69.04,15.72245475
(1) PPA_both_fmri,(5) RDM_classifier_3.npz,VGG11_bn,24.76754804,-1.695947079,70.38,17.40847727
(1) PPA_both_fmri,(0) RDM_avgpool.npz,VGG13,28.74538972,-2.65139053,69.94,16.10760675
(1) PPA_both_fmri,(5) RDM_classifier_3.npz,VGG13_bn,24.82745378,-2.248179789,71.554,17.81721001
(1) PPA_both_fmri,(34) RDM_features_24.npz,VGG16,28.86225219,-2.556210595,71.586,17.53620625
(1) PPA_both_fmri,(1) RDM_classifier.npz,VGG16_bn,21.95416297,-1.711641916,73.37,19.96305685
(1) PPA_both_fmri,(40) RDM_features_30.npz,VGG19,28.69791829,-2.863021296,72.394,17.92725343
(1) PPA_both_fmri,(1) RDM_classifier.npz,VGG19_bn,22.84801378,-0.862822916,74.242,21.64318419
