Model,%R2_V1,%R2_V2,%R2_V4,%R2_IT
AlexNet,42.75817464,36.8911679,38.64711442,49.50043924
beit_base_patch16_224.in22k_ft_in22k_in1k,64.11966532,62.93339732,58.07892546,65.99646416
coat_lite_mini,61.45941504,62.19077867,67.89384082,56.11297703
convit_small,66.68014998,63.11420336,54.80185638,54.2275645
convnext_base.fb_in22k_ft_in1k,65.59730208,60.24294622,72.9275125,76.50635067
cornet_rt,51.39980129,40.19834507,36.20304557,47.87314985
cornet_s,61.30394923,53.10657207,60.83806128,72.14245816
cornet_z,48.86087483,37.77090522,32.14817347,41.97737844
deit_base_patch16_224,65.40959838,60.29588685,61.49263657,64.23375266
Densenet121,64.38202947,63.52101566,58.88535253,63.37238541
Densenet161,59.31995809,55.02725962,69.36373729,64.274032
Densenet169,68.16090569,56.96597514,62.50688494,67.69389356
Densenet201,70.53841337,56.84979866,72.42686045,68.93001407
dm_nfnet_f0,64.5785855,62.0735184,69.78270354,70.13186253
efficientnet_b0,67.25424105,61.13168154,65.86254646,71.70172702
efficientnet_b1,71.44191474,63.33295983,65.79486462,75.34156686
efficientnet_b2,66.71762128,58.74697324,63.90924976,57.78882415
efficientnet_b3,66.45496602,69.10525557,71.51542576,69.50465742
efficientnet_b3.ra2_in1k,61.43316328,65.77003044,67.8639883,66.74397874
efficientnet_b4,65.46304436,60.34059552,57.65996191,64.57724644
efficientnet_b5,63.17351652,60.42413218,69.45931833,71.89343583
gluon_resnet50_v1c,63.35450532,57.51148054,67.70064765,68.92200802
gluon_resnext101_64x4d,58.61779489,46.07664839,61.28868725,67.3283494
gmlp_s16_224.ra3_in1k,58.05394527,56.10949351,58.19098932,60.01099451
GoogleNet,69.29977917,60.2035079,59.38020107,70.91595153
inception_resnet_v2,69.86004784,63.69662392,68.86559557,67.68419496
inception_v3,65.37506963,61.43782505,56.85290701,60.08904315
mixer_b16_224,47.29033663,46.72565448,53.40672297,56.1390023
mnasnet05,57.98569267,55.4771349,61.10101558,67.22421309
mnasnet10,67.06403788,58.3623619,66.95594422,72.04867816
mobilenet_v2,64.58340059,55.23060386,57.3312023,67.90504439
mobilenet_v3_large,57.05927952,61.49791751,67.0954884,63.06747668
mobilenet_v3_small,63.30376836,49.10800639,51.70028658,60.38011615
nfnet_l0,66.32569601,68.46788275,70.66204077,72.08944749
regnety_032,66.87844602,65.28053771,69.91436956,67.99213014
regnety_080,67.22181399,63.18998123,78.08287595,77.77620822
ResNet101,63.76538406,62.5796913,67.49390511,66.55948675
ResNet152,65.76796459,55.13504149,63.00529634,76.26909029
ResNet18,60.8874583,54.99234658,58.37861338,66.78492019
ResNet34,63.60252144,49.12236362,51.46608378,64.1166071
ResNet50,70.37678306,54.84275633,64.95109207,66.49807733
resnext101_32x8d,60.8823782,48.69268555,42.18018672,52.94255573
resnext50_32x4d,63.14086727,64.27293854,70.14494002,69.88831458
seresnet50,62.46608615,57.87554843,63.69140597,64.64850227
ShuffleNetV2x05,61.52174167,54.44356142,47.30773369,58.45243046
ShuffleNetV2x10,65.09785189,56.04840551,55.75239566,65.88331906
Squeezenet1_0,66.81059881,53.9050019,45.90682284,52.10098895
Squeezenet1_1,62.45074688,47.68364919,45.99226897,55.50675904
swin_base_patch4_window7_224,60.5767997,60.0060771,60.59015376,62.74668277
tf_efficientnet_b2_ns,63.21442227,63.17933277,71.65532211,71.37743118
tf_efficientnet_b4_ns,66.72304328,58.21116606,63.85786624,64.60576588
VGG11,53.84898268,43.44256847,39.07216385,55.84722047
VGG11_bn,50.78875023,44.2012625,41.07576098,50.1140557
VGG13,54.25269027,42.78241838,41.01842205,52.05093756
VGG13_bn,64.1279452,52.46832208,47.31091069,55.57729506
VGG16,55.37813286,44.81727948,54.11046486,69.37422754
VGG16_bn,56.17776829,50.54822613,49.18996895,53.66146822
VGG19,59.61159989,56.34921807,52.44969302,58.64925834
VGG19_bn,54.22998186,51.89045086,52.74664168,56.7596926
vit_base_patch16_224,66.73934649,60.82619868,71.65769835,65.51268263
vit_large_patch16_224,56.09692804,46.28087328,55.83599505,70.6665833
wide_resnet50_2,55.72870648,54.228473,68.89382581,63.06006888
xception,65.84271233,54.01969912,57.59048314,55.80437222
tf_efficientnetv2_s.in21k_ft_in1k,73.65264483,69.89570801,72.66458735,75.33486934
resnetv2_50x1_bit.goog_in21k_ft_in1k,61.37308131,56.72660534,59.81139217,58.27856298
mixer_b16_224.goog_in21k_ft_in1k,47.29033663,46.72780904,53.40887419,56.13820958
mobilenetv3_large_100.miil_in21k_ft_in1k,61.66003828,61.62023251,52.41370902,55.91477037
fastvit_t8.apple_dist_in1k,64.80900242,56.57775192,55.37371836,61.07663619
mobilevit_s.cvnets_in1k,57.62453441,53.36829782,49.95249979,51.45095942
maxvit_nano_rw_256.sw_in1k,58.13163692,55.44720392,44.16382854,52.18816331
