Model,%R2_V4,%R2_IT,%R2_V1,%R2_V2
AlexNet,17.69214364,13.77013826,22.49001607,18.7320902
beit_base_patch16_224.in22k_ft_in22k_in1k,16.31256441,16.9908015,16.5723124,14.70812601
coat_lite_mini,16.53439932,17.67924976,15.82132904,15.68816277
convit_small,15.58853075,12.58758881,25.46101521,21.86486465
convnext_base.fb_in22k_ft_in1k,25.37607888,17.88936974,23.73726406,27.83752182
cornet_rt,19.20645265,17.42033157,15.83299275,15.75454473
cornet_s,22.06490229,12.97207845,15.00165772,17.05778442
cornet_z,19.72811567,13.05761078,18.1600772,16.8992965
deit_base_patch16_224,15.21295915,12.53941319,23.49391655,20.6675995
Densenet121,17.74842707,17.68017422,16.96246908,18.30286367
Densenet161,13.68834639,10.72097779,15.6772193,16.54181705
Densenet169,13.80668803,10.21781006,15.62118021,17.51089793
Densenet201,15.91606301,11.97382993,18.84372665,22.8036308
dm_nfnet_f0,25.24711856,17.56106024,23.10624899,24.48471143
efficientnet_b0,28.6985793,19.81750099,23.28969537,26.40419968
efficientnet_b1,27.64451015,27.91969389,26.2333636,24.50454032
efficientnet_b2,27.6578482,27.59395116,25.57354109,28.30836891
efficientnet_b3,27.49724547,25.08386793,27.10898944,28.94239419
efficientnet_b3.ra2_in1k,31.93613835,27.23065307,30.87399641,32.62290969
efficientnet_b4,18.82010667,21.04400834,23.92095088,25.05332256
efficientnet_b5,25.48627266,28.15545855,21.09970557,24.41439908
fastvit_t8.apple_dist_in1k,21.05952634,17.62906063,18.08603357,21.62935752
gluon_resnet50_v1c,22.85799893,16.22428513,15.84629611,18.55016271
gluon_resnext101_64x4d,18.03681107,11.0308907,16.63305859,18.59264846
gmlp_s16_224.ra3_in1k,16.04534202,21.32775313,16.96527357,18.99117657
GoogleNet,20.0125883,17.34467654,26.73982668,25.25863822
inception_resnet_v2,27.45743107,16.57040126,18.26645142,22.17997807
inception_v3,23.66309283,12.34443924,22.00782777,21.42767242
maxvit_nano_rw_256.sw_in1k,17.22307695,15.47080292,24.60860403,21.94582686
mixer_b16_224,16.86517137,16.77340394,14.64628812,14.15892565
mixer_b16_224.goog_in21k_ft_in1k,16.86517137,16.77340394,14.64628471,14.15871001
mnasnet05,20.92657743,18.80646584,20.90699872,23.43184484
mnasnet10,23.73185691,17.6113269,20.13590684,23.6423707
mobilenet_v2,14.62183026,15.92747361,22.50029605,18.76637474
mobilenet_v3_large,31.59762062,28.1213694,28.32980511,32.54178652
mobilenet_v3_small,28.83553636,22.97519576,26.7972956,31.69425819
mobilenetv3_large_100.miil_in21k_ft_in1k,32.65424702,21.22136317,30.25011356,32.97081487
mobilevit_s.cvnets_in1k,25.14437556,17.35443673,19.80100239,22.42997088
nfnet_l0,29.14983625,27.04935429,31.18033693,33.2895345
regnety_032,26.28154135,26.75301669,22.38418022,24.95535993
regnety_080,27.6361931,21.43654346,23.0655783,25.70849031
ResNet101,17.02962497,14.65631533,17.97863742,16.1354486
ResNet152,17.87243693,17.26639729,15.83674322,17.87544397
ResNet18,17.53486617,11.69370062,21.07173284,19.91322669
ResNet34,20.44144519,13.45497449,13.81863439,18.1592881
ResNet50,17.53320555,16.75573838,16.99959138,14.56732271
resnetv2_50x1_bit.goog_in21k_ft_in1k,19.27235933,21.2272905,16.97851166,16.87714004
resnext101_32x8d,19.7216564,9.757681688,18.16516814,19.83184927
resnext50_32x4d,18.77978939,15.79173472,14.4197868,15.84289045
seresnet50,28.90691075,26.64830044,22.61620892,24.50816529
ShuffleNetV2x05,25.14338348,13.22896887,27.04880049,27.85995352
ShuffleNetV2x10,24.52191724,17.32910667,21.20138858,23.21779139
Squeezenet1_0,27.9675951,15.31848705,26.2963818,22.44158326
Squeezenet1_1,22.53682335,14.29134059,26.23015063,24.40681742
swin_base_patch4_window7_224,17.31774522,12.95774162,19.05469819,18.9865178
tf_efficientnet_b2_ns,27.05268143,18.28913976,28.20981413,27.42404003
tf_efficientnet_b4_ns,30.74563642,19.43073174,31.41030666,29.95298711
tf_efficientnetv2_s.in21k_ft_in1k,28.28411774,33.17449075,25.50684413,22.2127383
VGG11,19.39980338,15.64263254,17.76384263,16.32426774
VGG11_bn,19.94785955,13.10443874,13.2717825,13.45748166
VGG13,20.22453962,16.05877926,19.45630014,16.15292205
VGG13_bn,20.81115744,13.86701753,11.1294406,11.863963
VGG16,20.40492743,15.02928088,22.82351131,21.39663143
VGG16_bn,17.97053868,12.25248718,10.22146223,13.1864734
VGG19,20.36281104,16.02035918,22.8876215,22.10227537
VGG19_bn,16.18537273,11.90622217,8.191979973,9.582922946
vit_base_patch16_224,14.92121042,14.25700483,26.73575281,25.4315668
vit_large_patch16_224,16.37462835,13.64584145,27.80135688,24.59893131
wide_resnet50_2,27.82474256,17.7669215,17.17190882,20.41817368
xception,21.90408523,13.56924252,24.32002369,18.86768156
