Model,%R2_V4,%R2_IT,%R2_V1,%R2_V2
AlexNet,42.89267435,35.85644863,39.6244123311998,29.6324616624091
coat_lite_mini,39.76425285,45.25172367,49.124776279679,39.0836141055826
convit_small,44.43488559,47.49271065,46.6923303585117,37.765984367036
cornet_rt,36.6017422,33.38223965,,
cornet_s,48.3327585,51.98377098,57.8473696215046,47.6243919696887
cornet_z,39.24045794,34.10975848,45.4198622326784,31.1002237220026
deit_base_patch16_224,46.75858006,50.81777245,41.672015014489,38.0565266741482
Densenet121,40.74615659,46.60806506,37.0805658650168,32.2911104231856
Densenet161,60.40657869,48.23682303,49.600646378605,40.3288623645382
Densenet169,51.74360121,48.36406632,51.8668325502098,41.0603035288427
Densenet201,56.05020308,47.83600124,50.5633789573643,44.8783441626126
dm_nfnet_f0,47.29546335,52.17600647,42.6213273196504,37.7376005551068
efficientnet_b0,52.0812504,46.67450642,56.6135052619397,45.9779622607658
efficientnet_b1,53.24347303,47.96855772,50.826474541938,43.5429059518474
efficientnet_b2,54.85075967,50.73286521,53.9205447796698,47.7276263273214
efficientnet_b3,55.74667427,46.92064347,58.7804148584119,43.9840265050306
efficientnet_b4,58.06705012,43.18847298,55.067714085929,47.7870890528237
efficientnet_b5,58.9716176,45.09692081,56.381045904562,47.8279280119534
gluon_resnet50_v1c,49.56654521,48.46354222,54.1725089413451,48.2040011553264
gluon_resnext101_64x4d,56.3558931,49.78152497,50.5215003155692,52.6241374630784
GoogleNet,59.48597824,44.61516814,48.7512125730873,45.7229903502041
inception_resnet_v2,55.93718065,48.80910872,49.679691090622,46.1394139349121
inception_v3,56.36472347,44.27660862,64.2801789563219,54.5755651427349
mixer_b16_224,47.20998801,46.37951395,46.7307764804404,37.3229626867194
mnasnet05,47.49416193,41.39738326,45.2187073170841,37.9957189128601
mnasnet10,45.72226762,40.50115788,44.7811177684655,35.8746742146484
mobilenet_v2,44.54072287,43.96027439,48.5575384408099,37.4038287450388
mobilenet_v3_large,52.06469027,48.48899516,61.7153812509212,51.1860114015797
mobilenet_v3_small,50.469292,43.64432537,53.3596968581831,42.5433471385047
nfnet_l0,54.22446622,52.01926438,44.8696419863405,39.9622893078685
regnety_032,54.07300369,45.85628667,48.2726992121792,40.1400359874977
regnety_080,38.65588862,44.88709415,44.0226774739586,36.2161100946087
ResNet101,55.81667996,47.68687686,63.1193586306138,50.3444900325949
ResNet152,53.33044121,47.37874351,49.8633515115357,44.3739172312068
ResNet18,41.94367296,41.5910417,41.0451537009319,37.4336614348693
ResNet34,42.11118971,41.82416753,36.6792925055646,31.3970442993343
ResNet50,46.70076452,46.97160393,49.4182730438653,34.950765353935
resnext101_32x8d,49.51148335,43.1358181,52.2995371478409,42.990314492781
resnext50_32x4d,38.96383022,52.25948532,33.7006625838566,26.5954959301804
seresnet50,54.39542661,47.00364256,57.8211956958147,44.8742359218807
ShuffleNetV2x05,51.64376897,43.68416739,45.3808159455364,38.4932333728631
ShuffleNetV2x10,43.88584484,46.2344244,40.4508611182698,32.4829756031999
Squeezenet1_0,52.09685194,38.61326661,51.9158087243624,41.3478511023769
Squeezenet1_1,52.32643857,37.60720688,50.2907301921159,39.5110492986932
swin_base_patch4_window7_224,50.92468869,52.78029344,53.610698833093,47.4380327132323
tf_efficientnet_b2_ns,46.38122536,46.72855904,46.8710574078636,42.4099188621353
tf_efficientnet_b4_ns,46.68442792,48.88330776,52.6267733368159,37.9535239368263
VGG11,39.98120306,37.0962928,45.8903219659391,35.0272607118187
VGG11_bn,37.84093956,37.05279507,36.0777436411501,26.5195114064389
VGG13,42.97879992,38.08910291,38.6522890903454,34.9047675698298
VGG13_bn,33.89141497,37.26907862,30.3671524615358,25.1378997016102
VGG16,44.09711174,39.03091263,43.7526074387413,39.5482855057676
VGG16_bn,34.84240757,33.7972485,33.3045618884533,25.1860729729445
VGG19,45.45714401,36.01680889,43.2259850182005,35.805461566824
VGG19_bn,38.08232186,38.49021552,31.4335189984849,28.1216565709059
vit_base_patch16_224,55.69807759,49.35083026,54.8588663035436,48.0113642284688
vit_large_patch16_224,51.09976103,52.78942545,52.8865709078565,40.5917843275907
wide_resnet50_2,54.20463242,50.75033619,46.3131217748287,43.557942928454
xception,50.49793408,44.60354107,52.3958557524499,46.0971547751621
