Model,%R2_V1,%R2_V2,%R2_V4,%R2_IT
ResNet50,38.37745828717634,38.14337671419871,8.090270363128607,2.589136478942017
AlexNet,16.283310743944078,12.382792738714269,4.532747703059061,1.754806327198062
Densenet121,43.53998110992619,42.81468994771968,12.734464319599152,6.147368061675923
Densenet161,41.768746607655096,41.358777696342486,11.681789501633842,4.470709635561608
Densenet169,45.3449021366886,41.77878855410035,12.64810682300111,6.206796116478382
Densenet201,44.29770341688437,41.65300595622049,10.609425892991192,4.297134937051022
GoogleNet,32.361924449382,31.19287777583275,9.524562961917487,7.246757461981845
ResNet101,39.48344451840474,35.60696413982948,14.733632231508093,6.315071516980182
ResNet152,38.71179934942652,38.03616129136289,8.116416602800527,4.772463503318634
ResNet18,39.60200363921797,39.8693621884293,10.345919636025757,4.858901967642272
ResNet34,34.914584445211126,36.40970794652385,9.645703764162466,4.395116826840544
ShuffleNetV2x05,22.614084047903408,24.687772195299644,14.27757960537355,2.818372752556156
ShuffleNetV2x10,35.570407535439934,34.24696588968772,10.357311438415758,4.159214092405521
Squeezenet1_0,14.69064652160825,14.25632492592258,6.59460625830242,2.009792120600653
Squeezenet1_1,17.025376417224237,15.607793669100149,8.367390676603133,2.71747835188185
VGG11,1.5620405402973123,2.0578343850018217,1.9720787098812684,1.893886027172181
VGG11_bn,28.1798020409468,26.340124218225,6.802605394068332,3.684042991585104
VGG13,3.819760529951752,3.013698047726095,2.2895777842095657,1.76286427797474
VGG13_bn,27.86478366493816,27.89938769652493,7.5781507069686045,1.9628931050780625
VGG16,5.005294306896021,2.2285318526987976,1.8739036073873911,2.088838846999454
VGG16_bn,34.08027450843588,31.632028210832782,8.041492227432537,3.4353666386201955
VGG19,5.182455344004473,2.4416110436738623,2.18628303388931,1.0148557884630929
VGG19_bn,37.20541902027525,33.88246308319278,8.953036789091144,1.965036692100457
efficientnet_b0,23.188407309690163,21.163884524698283,7.013416384328959,6.183318973059151
efficientnet_b1,33.82456591929425,25.76307839886085,7.47706384934729,6.399247122569306
efficientnet_b2,25.454459146740994,23.659313868644578,9.965809155178787,7.233428754761468
efficientnet_b3,24.3934801422172,28.05219536529428,14.80050150889517,9.487880127435147
efficientnet_b4,33.078375219099804,32.56149160201326,16.43903707177136,10.361169624751051
efficientnet_b5,23.99202059386337,25.37350429619571,5.5302125566115805,7.786532683375818
mnasnet05,32.452425301794946,28.24858272283529,9.921694493823251,6.772927081382636
mnasnet10,31.471507631480428,32.70116205074809,8.72472825677094,5.779459113747709
mobilenet_v2,27.672087699307603,28.8034751435476,7.820751746503693,3.0728425711280654
mobilenet_v3_large,33.850045874562625,35.006421246036226,8.154874717694808,5.165554913581655
mobilenet_v3_small,20.43182658778015,20.85994955059444,4.460626890573378,5.656246259240137
inception_v3,37.903904117223,33.9285690486218,10.819902063093355,7.573731439910887
inception_resnet_v2,37.49878787505531,33.362427815771895,14.972473255740242,5.087243847339035
xception,43.092227049193696,38.6819979480968,12.252885670491615,1.9544577129281488
tf_efficientnet_b2_ns,26.74737636732758,23.70961567270593,9.57465683368621,4.981898678740309
tf_efficientnet_b4_ns,33.905598951881096,26.834396674529746,12.6592202706038,7.451801432812999
resnext50_32x4d,33.94337527424719,35.5316908658865,10.99086186102717,6.063069606435581
resnext101_32x8d,30.12793968252589,33.35039929590373,9.093784500652944,5.586679487457524
vit_base_patch16_224,20.86097626323404,25.25248404518613,10.90952601036928,4.876487085442072
vit_large_patch16_224,37.65441965296302,32.855979678555286,9.269540877456963,4.365738974089643
deit_base_patch16_224,24.889843966897185,24.17407658633328,10.016730334336977,3.454186049334536
swin_base_patch4_window7_224,29.24790911365534,28.733864351161365,9.028951324031029,4.26160710924726
mixer_b16_224,36.53082101462645,36.85413998482176,19.521256320828147,8.34256734453023
nfnet_l0,24.2481727009372,23.09167405763341,9.591282851047756,6.234735931009965
dm_nfnet_f0,29.71671836002216,21.56413440399568,6.944481645115203,4.828523827600344
regnety_032,23.64426839837668,24.86561139252004,12.333301202085636,5.358079543082015
regnety_080,23.178427088299685,24.7322143961168,8.233494583511108,5.459114394711408
coat_lite_mini,28.8471478922067,28.63414831397345,10.587970140779692,7.371620137993379
seresnet50,35.03403645017102,36.26675510307879,10.137119771801313,6.14193565754513
gluon_resnet50_v1c,35.374836398972185,38.17694610991781,11.394604042605485,7.144917684361042
gluon_resnext101_64x4d,39.93557452110028,38.18504362455409,12.247125922376958,3.557831809364044
wide_resnet50_2,22.922046430186285,25.54519114480341,10.530011128673184,6.055720742242172
convit_small,23.044245805131165,23.576824621018524,10.78723068654688,5.867531237331079
efficientnet_b3.ra2_in1k,26.079053988445605,31.48949248234339,14.762715074373942,4.588570535226068
beit_base_patch16_224.in22k_ft_in22k_in1k,25.68489546041636,21.278121562183227,9.904788614765074,4.694338566539873
gmlp_s16_224.ra3_in1k,20.776200162095044,22.561951728302475,6.53393520015976,12.379193579067554
convnext_base.fb_in22k_ft_in1k,22.34930739721009,25.66494932318351,11.791209544074546,7.344178713442023
cornet_s,27.075947308809816,27.234826827812142,6.578656325849405,3.347090672379719
cornet_z,7.079762669890536,5.744667675996188,3.691308561002304,1.8505135240496482
cornet_rt,17.598103603153305,12.63375384317788,5.01835753799802,3.650262192509522
